"EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10","EXT1_E","EXT2_E","EXT3_E","EXT4_E","EXT5_E","EXT6_E","EXT7_E","EXT8_E","EXT9_E","EXT10_E","EST1_E","EST2_E","EST3_E","EST4_E","EST5_E","EST6_E","EST7_E","EST8_E","EST9_E","EST10_E","AGR1_E","AGR2_E","AGR3_E","AGR4_E","AGR5_E","AGR6_E","AGR7_E","AGR8_E","AGR9_E","AGR10_E","CSN1_E","CSN2_E","CSN3_E","CSN4_E","CSN5_E","CSN6_E","CSN7_E","CSN8_E","CSN9_E","CSN10_E","OPN1_E","OPN2_E","OPN3_E","OPN4_E","OPN5_E","OPN6_E","OPN7_E","OPN8_E","OPN9_E","OPN10_E","dateload","screenw","screenh","introelapse","testelapse","endelapse","IPC","country","lat_appx_lots_of_err","long_appx_lots_of_err"
"2","3","2","3","1","2","1","3","3","5","2","4","4","2","2","2","2","3","1","3","2","3","2","5","2","3","2","2","4","4","2","4","4","3","1","4","4","3","1","3","4","3","5","2","3","1","4","4","5","4","7265","3490","2688","2974","2350","2329","2919","3352","2681","2833","5428","3317","3164","3647","3024","2731","2531","2363","2253","5057","5456","15904","2756","3608","5031","3667","2875","2696","3016","2397","3190","1129","2126","5692","2880","2884","2465","3203","2187","3744","2770","3163","2532","4057","2460","2433","3277","3348","3516","2052","2018-06-17 07:37:18","412","846","12","175","9","1","NL","52.3667","4.9"
"1","3","3","3","4","2","3","2","4","3","3","1","4","2","5","2","3","2","2","3","2","4","2","4","2","4","2","4","4","3","4","4","5","2","2","4","4","3","3","4","2","1","5","1","5","1","5","1","4","5","4154","3386","3791","2452","3386","3117","2049","4904","2612","5051","3105","4138","1103","2632","3431","8121","3295","4972","4354","3241","4532","2824","3837","2544","2227","2182","1788","1665","8076","1755","2374","2815","2834","2576","4917","5131","1755","2824","1361","1822","2217","4353","1631","3746","5557","2497","1824","641","2261","854","2018-06-17 07:40:21","1536","864","17","159","7","1","US","38.0","-97.0"
"3","3","3","3","4","3","2","5","1","3","5","1","5","1","5","5","5","4","5","5","1","5","4","5","1","5","2","3","5","4","3","2","4","2","2","2","5","4","5","3","5","3","5","1","3","2","1","4","4","3","271019","3881","6144","3480","2962","2336","4855","1703","1576","4409","2455","4313","2160","4249","2889","2047","3136","3809","2071","1737","2927","3128","3640","2136","4007","1968","7977","7272","2879","3080","5409","3015","3672","2600","3527","2840","2528","3079","1649","3479","1271","3448","2584","3159","2855","3105","3513","3728","3248","1615","2018-06-17 07:41:15","1920","1080","2","431","19","1","US","38.0","-97.0"
"2","4","3","3","3","3","2","4","2","3","3","3","4","4","2","3","3","2","3","2","1","4","2","5","1","3","2","4","5","3","4","4","4","2","2","4","3","1","4","4","4","1","5","1","3","1","4","2","5","4","5937","4976","3476","2761","2528","4760","10250","1703","3820","6092","2039","2689","3235","1276","2729","3467","1694","2585","3670","2199","7185","2304","4559","1429","4690","2199","5804","1982","6382","3493","2263","4214","3918","6840","3773","4476","4222","6808","8123","23996","5619","3187","2135","5507","4110","2352","2351","3773","2063","12395","2018-06-17 07:41:32","1440","900","62","225","16","1","IN","28.6667","77.2167"
"3","4","4","4","4","3","3","4","4","3","1","5","4","3","2","1","2","2","1","3","2","4","1","3","2","4","2","4","3","4","2","5","2","3","2","5","4","4","2","3","2","3","4","2","3","2","5","2","5","4","10036","3440","3569","2831","2414","5784","12269","20375","3503","4003","2652","1588","2446","4150","3345","5151","3900","4531","3607","2868","5993","3430","7242","3210","3848","3377","2911","6576","2971","5521","6944","3519","4978","8742","3957","6278","5668","3359","2652","6799","2515","6166","3422","3802","3413","9657","3759","4056","3226","3846","2018-06-17 07:43:11","1366","768","556","246","24","1","IT","41.9","12.4833"
"2","2","1","4","2","2","1","4","1","5","4","3","4","1","3","5","5","5","5","5","1","3","2","5","1","5","3","5","4","2","4","1","5","2","2","1","4","2","3","4","3","3","5","1","3","1","3","3","5","2","10244","13105","3999","6118","3134","2432","5783","6168","2866","3436","4398","3548","4988","3350","11154","4150","2553","3119","2447","2017","8049","30618","12786","3233","9185","5268","3919","3317","9119","9001","9502","3786","2366","6785","2983","3301","3598","4084","15254","9466","3168","5885","4264","4350","6583","3135","6081","6717","4734","4351","2018-06-17 07:43:49","414","736","176","309","14","1","US","34.2856","-118.882"
"1","4","1","4","3","2","1","4","1","5","5","3","4","2","4","2","1","2","4","4","4","1","3","4","2","4","2","4","4","3","0","2","4","3","2","3","4","3","3","5","5","1","5","2","5","2","5","4","4","5","12117","3393","2990","955","1876","4614","3066","2765","3731","3984","3995","2863","2728","8375","2039","1742","4178","1776","2485","1982","3189","6929","2398","1915","3202","2987","3993","12998","4150","5184","0","8518","4390","3415","4738","7863","1596","3787","3857","1962","1799","4671","2884","19150","3337","3559","1846","1846","2322","1742","2018-06-17 07:45:26","1536","864","479","203","18","1","IS","64.136","-21.9203"
"1","5","2","4","3","4","2","4","3","3","2","3","3","2","2","2","3","2","3","3","5","2","4","2","5","1","5","2","1","2","4","2","3","4","2","4","3","4","3","3","2","2","2","3","2","3","4","3","4","2","4328","3189","2696","2278","2251","1461","2899","2700","1964","1814","1380","2254","2600","3039","1466","7668","4126","1559","1915","2027","1445","2527","1458","1924","2724","1958","2862","35829","2346","2325","1890","2983","2202","3905","3308","18236","1951","30925","1548","5325","1879","4764","1502","1255","1568","1928","1250","4922","1903","1484","2018-06-17 07:47:20","1280","1024","342","205","11","1","RU","55.154","61.4291"
"4","1","5","1","5","1","5","2","5","1","1","5","1","5","1","1","1","1","1","1","2","5","5","3","1","4","1","3","4","5","1","1","3","1","3","1","3","2","1","3","5","1","4","2","5","1","5","5","3","5","2673","1873","1240","1544","3033","1996","2017","4384","2300","1859","2904","1717","1742","2177","1683","1801","1238","1922","1821","2732","3165","1808","1503","1416","1538","2405","3738","2864","2288","1504","1528","6477","2028","2493","1788","2527","2015","2175","1695","2260","1173","2564","1438","2935","1058","1761","1762","2443","5889","1034","2018-06-17 07:47:29","1920","1080","9","113","8","1","GB","53.7413","-2.9875"
"1","4","2","4","2","4","1","5","2","5","5","2","5","1","1","3","4","4","5","5","4","4","2","5","2","5","4","4","4","4","2","4","5","4","1","5","4","4","2","4","5","2","5","2","0","1","4","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3368","2018-06-17 07:48:05","1440","900","16","2457","6","1","DE","51.0","9.0"
